depId                           class       name                                                                                                  flag      
265                             6           ELF32/libc-2.3.6.so                                                                                   GLIBC_2.1.
266                             6           ELF32/libc-2.3.6.so                                                                                   GLIBC_2.3 
267                             6           ELF32/libc-2.3.6.so                                                                                   GLIBC_2.2 
268                             6           ELF32/libc-2.3.6.so                                                                                   GLIBC_2.1 
269                             6           ELF32/libc-2.3.6.so                                                                                   GLIBC_2.0 
270                             6           ELF32/libc.so.6                                                                                       GLIBC_2.3.
271                             6           ELF32/libc.so.6                                                                                       GCC_3.0   
272                             6           ELF32/libc.so.6                                                                                       GLIBC_2.2.
273                             6           ELF32/libc.so.6                                                                                       GLIBC_2.2.
274                             6           ELF32/libc.so.6                                                                                       GLIBC_2.2.
275                             6           ELF32/libc.so.6                                                                                       GLIBC_2.2.
276                             6           ELF32/libc.so.6                                                                                       GLIBC_PRIV
277                             6           ELF32/libc.so.6                                                                                       GLIBC_2.1.
278                             6           ELF32/libcrypt-2.3.6.so                                                                               -*none*-  
279                             6           ELF32/libcrypt-2.3.6.so                                                                               SysV      
280                             6           ELF32/libcrypt-2.3.6.so                                                                               x86       
281                             6           ELF32/libcrypt-2.3.6.so                                                                               GLIBC_2.0 
282                             6           ELF32/libdl-2.3.6.so                                                                                  -*none*-  
283                             6           ELF32/libdl-2.3.6.so                                                                                  SysV      
284                             6           ELF32/libdl-2.3.6.so                                                                                  x86       
285                             6           ELF32/libdl-2.3.6.so                                                                                  GLIBC_2.3.
