name, area, typ, task, created_on, updated_on
Virtual Intelligence/Timelines/*,Virtual Intelligence,Timelines,*
Virtual Intelligence/Usage/*,Virtual Intelligence,Usage,*
Virtual Machines/*,Virtual Machines,*,*
Virtual Machines/Requests/*,Virtual Machines,Requests,*
Virtual Machines/VMs/*,Virtual Machines,VMs,*
VM: *,Vm,Action,*
VM: Analyze,Vm,Action,vm_scan
VM: Assign CoTags,Vm,Action,classifying
VM: Assign Policy,Vm,Action,protect
VM: Check Compliance,Vm,Action,vm_check_compliance
VM: Collect Running Processes,Vm,Action,vm_collect_running_processes
VM: Compare,Vm,Action,vm_compare
VM: Console,Vm,Action,console
VM: Create BlackBox,Vm,Action,vm_create_bb
VM: Create Snapshot,Vm,Action,vm_snap
VM: Delete,Vm,Action,vm_delete
VM: Delete BlackBox,Vm,Action,vm_delete_bb
VM: Delete Snapshot,Vm,Action,vm_deletesnaps
VM: Drift,Vm,Action,vm_drift
VM: Edit,Vm,Action,edit
VM: List,Vm,Action,show_list
VM: Make Smart,Vm,Action,vm_smart
VM: Ownership,Vm,Action,vm_ownership
VM: Policy Simulation,Vm,Action,vm_policy_sim
VM: Provision,Vm,Action,provision
VM: Refresh,Vm,Action,vm_refresh
VM: Reset,Vm,Action,vm_reset
VM: Restart Guest,Vm,Action,guest_restart
VM: Retire,Vm,Action,vm_retire
VM: Retire Now,Vm,Action,vm_retire_now
VM: Revert Snapshot,Vm,Action,vm_revertsnaps
VM: Show,Vm,Action,show
VM: Shutdown Guest,Vm,Action,guest_shutdown
VM: Start,Vm,Action,vm_start
VM: Stop,Vm,Action,vm_stop
VM: Suspend,Vm,Action,vm_suspend
VM: Sync,Vm,Action,vm_sync
